,refNum
1753,2577
1754,2578
1755,2579
1756,2580
1757,2581
1758,2582
1759,2583
1760,2584
1761,2585
1762,2587
1763,2588
1764,2589
1765,2590
1766,2591
1767,2592
1768,2594
1769,2595
1770,2596
1771,2599
1772,2600
1773,2602
1774,2605
1775,2608
1776,2609
1777,2610
1778,2612
1779,2613
1780,2614
1781,2615
1782,2616
1783,2617
1784,2618
1785,2620
1786,2621
1787,2623
1788,2624
1789,2625
1790,2626
1791,2627
1792,2628
1793,2629
1794,2630
1795,2631
1796,2632
1797,2634
1798,2636
1799,2637
1800,2638
1801,2642
1802,2643
1803,2646
1804,2647
1805,2648
1806,2649
1807,2650
1808,2651
1809,2655
1810,2656
1811,2657
1812,2658
1813,2659
1814,2660
1815,2661
1816,2662
1817,2663
1818,2664
1819,2665
1820,2666
1821,2668
1822,2670
1823,2674
1824,2675
1825,2677
1826,2678
1827,2680
1828,2682
1829,2683
1830,2684
1831,2685
1832,2686
1833,2688
1834,2689
1835,2691
1836,2692
1837,2693
1838,2694
1839,2695
1840,2696
1841,2697
1842,2698
1843,2699
1844,2701
1845,2702
1846,2703
1847,2704
1848,2705
1849,2706
1850,2707
1851,2708
1852,2709
1853,2710
1854,2711
1855,2712
1856,2713
1857,2714
1858,2715
1859,2716
1860,2717
1861,2719
1862,2723
1863,2724
1864,2725
1865,2727
1866,2728
1867,2730
1868,2734
1869,2736
1870,2737
1871,2738
1872,2739
1873,2740
1874,2741
1875,2742
1876,2745
1877,2746
1878,2748
1879,2749
1880,2751
1881,2752
1882,2754
1883,2757
1884,2760
1885,2761
1886,2762
1887,2764
1888,2765
1889,2766
1890,2767
1891,2768
1892,2770
1893,2771
1894,2772
1895,2774
1896,2776
1897,2778
1898,2779
1899,2781
1900,2783
1901,2784
1902,2785
1903,2789
1904,2790
1905,2798
1906,2800
1907,2802
1908,2808
1909,2811
1910,2812
1911,2813
1912,2815
1913,2817
1914,2818
1915,2819
1916,2820
1917,2821
1918,2824
1919,2825
1920,2827
1921,2828
1922,2829
1923,2830
1924,2831
1925,2832
1926,2833
1927,2836
1928,2837
1929,2838
1930,2841
1931,2842
1932,2845
1933,2846
1934,2848
1935,2850
1936,2851
1937,2852
1938,2854
1939,2855
1940,2856
1941,2857
1942,2858
1943,2859
1944,2860
1945,2861
1946,2862
1947,2863
1948,2864
1949,2865
1950,2866
1951,2868
1952,2870
1953,2871
1954,2872
1955,2873
1956,2875
1957,2876
1958,2878
1959,2879
1960,2880
1961,2884
1962,2886
1963,2891
1964,2892
1965,2894
1966,2897
1967,2898
1968,2899
1969,2900
1970,2903
1971,2904
1972,2906
1973,2907
1974,2908
1975,2909
1976,2910
1977,2911
1978,2912
1979,2914
1980,2918
1981,2919
1982,2922
1983,2923
1984,2924
1985,2926
1986,2927
1987,2929
1988,2930
1989,2932
