"","name","value"
"255","Weight",0.279740734987106
"256","Club",0.279740734987106
"257","Age",0.0186600678708348
"258","Mean_IAT",0.00386135701629851
"259","Ref_Country",0.711974561637289
"260","Victories",0.0366803599191183
"261","Skin_Tone",0.332667097900673
"262","Position",0.336961778703339
"263","Yellow_Cards",0.336961778703339
"264","Height",0.285095350404348
"265","Weight",0.285095350404348
"266","Club",0.285095350404348
"267","Age",0.0259585848449461
"268","Mean_IAT",0.0127069762840244
"269","Ref_Country",0.714278569932542
"270","Victories",0.0444665718689023
"271","Skin_Tone",0.337069075723179
"272","Position",0.337069075723179
"273","Yellow_Cards",0.337069075723179
"274","Height",0.285105732200634
"275","Weight",0.285105732200634
"276","Club",0.285105732200634
"277","Age",0.0273959867336289
"278","Mean_IAT",0.0138074861992487
"279","Ref_Country",0.714345829414024
"280","Victories",0.0463761425423993
"281","Skin_Tone",0.279740734987106
"282","Position",0.285095350404348
"283","Yellow_Cards",0.33314148474989
"284","Height",0.33314148474989
"285","Weight",0.33314148474989
"286","Club",0.33314148474989
"287","Age",0.037507363938621
"288","Mean_IAT",0.0279209725098385
"289","Ref_Country",0.723566471144201
"290","Victories",0.0412427662582314
"291","Skin_Tone",0.285105732200634
"292","Position",0.285105732200634
"293","Yellow_Cards",0.333212810149816
"294","Height",0.333212810149816
"295","Weight",0.333212810149816
"296","Club",0.333212810149816
"297","Age",0.0394282470383782
"298","Mean_IAT",0.0293636518008771
"299","Ref_Country",0.723724103399197
"300","Victories",0.0430399592484762
"301","Skin_Tone",0.333212810149816
"302","Position",0.337104957618584
"303","Yellow_Cards",0.337104957618584
"304","Height",0.337104957618584
"305","Weight",0.337104957618584
"306","Club",0.337104957618584
"307","Age",0.0445160747399599
"308","Mean_IAT",0.0365459910336965
"309","Ref_Country",0.725074765350352
"310","Victories",0.0499087914788465
"311","Skin_Tone",0.337236629516878
"312","Position",0.337236629516878
"313","Yellow_Cards",0.337236629516878
"314","Height",0.337236629516878
"315","Weight",0.337236629516878
"316","Club",0.337236629516878
"317","Age",0.0466308365352031
"318","Mean_IAT",0.0384854857698323
"319","Ref_Country",0.725274320648641
"320","Victories",0.0521301408443005
"321","Skin_Tone",0.0173300220502156
"322","Position",0.0256613954113168
"323","Yellow_Cards",0.0351555954581483
"324","Height",0.017236436530701
"325","Weight",0.017236436530701
"326","Club",0.283621629789946
"327","Age",0.283621629789946
"328","Mean_IAT",0.275043030955915
"329","Ref_Country",0.750828505637418
"330","Victories",0.33314735536415
"331","Skin_Tone",0.027112464040758
"332","Position",0.027112464040758
"333","Yellow_Cards",0.0369441108359151
"334","Height",0.0186274960608625
"335","Weight",0.0186274960608625
"336","Club",0.283738014074817
"337","Age",0.283738014074817
"338","Mean_IAT",0.275045984356926
"339","Ref_Country",0.750815428475174
"340","Victories",0.33330154081326
"341","Skin_Tone",0.0369441108359151
"342","Position",0.0441380318521948
"343","Yellow_Cards",0.0441380318521948
"344","Height",0.0258797043517916
"345","Weight",0.0258797043517916
"346","Club",0.290020713941675
"347","Age",0.290020713941675
"348","Mean_IAT",0.28323575541112
"349","Ref_Country",0.753548010818381
"350","Victories",0.340077524853759
"351","Skin_Tone",0.0462383181508075
"352","Position",0.0462383181508075
